,ENSG00000242268.2,ENSG00000259041.1,ENSG00000270112.3,ENSG00000167578.16,ENSG00000078237.5,ENSG00000269416.5,ENSG00000146083.11,ENSG00000158486.13,ENSG00000273639.4,ENSG00000198242.13,ENSG00000231981.3,ENSG00000269475.2,ENSG00000134108.12,ENSG00000261030.1,ENSG00000172137.18,ENSG00000276644.4,ENSG00000240423.1,ENSG00000271616.1,ENSG00000234881.1,ENSG00000236040.1,ENSG00000231105.1,ENSG00000094963.13,ENSG00000182141.9,ENSG00000280143.1,ENSG00000251334.2,ENSG00000231112.1,ENSG00000258610.1,ENSG00000264981.1,ENSG00000275265.1,ENSG00000185105.4,ENSG00000233540.1,ENSG00000102174.8,ENSG00000166391.14,ENSG00000232001.1,ENSG00000270469.1,ENSG00000234253.1,ENSG00000070087.13,ENSG00000262950.1,ENSG00000255420.1,ENSG00000280038.1,ENSG00000153561.12,ENSG00000251538.5,ENSG00000269148.1,ENSG00000253438.2,ENSG00000235411.1,ENSG00000179262.9,ENSG00000278099.1,ENSG00000104833.10,ENSG00000166368.2,ENSG00000206072.12,ENSG00000006695.10,ENSG00000258630.1,ENSG00000187513.8,ENSG00000225269.2,ENSG00000214062.5,ENSG00000095587.8,ENSG00000167700.8,ENSG00000274219.1,ENSG00000254102.1,ENSG00000265096.1,ENSG00000064601.16,ENSG00000227766.1,ENSG00000008517.16,ENSG00000261475.2,ENSG00000229637.3,ENSG00000266644.1,ENSG00000227896.2,ENSG00000214541.3,ENSG00000070081.15,ENSG00000166634.6,ENSG00000275479.1,ENSG00000112309.10,ENSG00000261789.1,ENSG00000254092.1,ENSG00000158480.10,ENSG00000197421.9,ENSG00000280171.1,ENSG00000260900.1,ENSG00000266579.1,ENSG00000278732.1,ENSG00000196167.9,ENSG00000264438.2,ENSG00000254131.1,ENSG00000118972.1,ENSG00000264104.1,ENSG00000179833.4,ENSG00000165312.6,ENSG00000159618.15,ENSG00000064225.12,ENSG00000250571.6,ENSG00000057294.13,ENSG00000226530.1,ENSG00000134709.10,ENSG00000166007.11,ENSG00000171861.10,ENSG00000278923.1,ENSG00000167768.4,ENSG00000273637.1,ENSG00000280159.1,ENSG00000232216.1
TCGA-DU-A7TI-01,-0.6193,-9.9658,-2.6349,5.8709,3.6578,-3.3076,4.9755,-5.0116,-9.9658,9.4928,-4.035,-1.1488,6.0696,-9.9658,2.8034,0.7748,-3.0469,-9.9658,-9.9658,-9.9658,-4.6082,2.0776,3.5766,0.8488,-2.0529,-9.9658,4.1482,-9.9658,-9.9658,-0.0425,-9.9658,0.7832,-5.5735,-9.9658,-9.9658,-9.9658,9.0114,-9.9658,-9.9658,-1.2481,3.7464,-9.9658,-3.1714,-3.1714,-3.816,6.5815,-9.9658,7.9965,-9.9658,-9.9658,2.6715,-9.9658,1.2147,-9.9658,-4.035,-1.2481,4.4417,-9.9658,-3.458,-9.9658,5.9932,1.3283,3.6266,-9.9658,-9.9658,-3.6259,-1.1488,-9.9658,5.2161,-4.035,1.9601,4.6335,-9.9658,-2.9324,4.5136,-3.816,-9.9658,-9.9658,-9.9658,-9.9658,2.2783,-9.9658,-9.9658,-6.5064,-9.9658,2.2543,4.1086,-0.1665,5.0803,4.3541,-1.2481,0.4552,0.3685,-9.9658,3.7367,-9.9658,-3.6259,-9.9658,-0.9971,-3.0469
GTEX-TMZS-0001-SM-3P61Q,-9.9658,-9.9658,-4.035,5.2262,3.4224,-4.2934,4.838,-3.816,-9.9658,11.5088,-9.9658,-9.9658,4.9156,-5.0116,-5.5735,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-1.7322,-5.5735,2.2452,-0.2159,-9.9658,-9.9658,-1.3548,-9.9658,-3.458,-5.5735,-9.9658,-2.9324,-4.6082,-9.9658,-9.9658,-9.9658,3.1079,-9.9658,-9.9658,-5.0116,3.7039,-9.9658,-0.4521,-9.9658,-4.2934,6.8085,-9.9658,1.5366,-9.9658,-9.9658,3.3717,-9.9658,-3.458,-9.9658,-3.458,-2.8262,2.8219,-9.9658,0.2522,-9.9658,4.9137,2.676,8.3975,-9.9658,-9.9658,-2.9324,-0.9406,-0.9132,4.5429,-9.9658,1.1382,-2.9324,-9.9658,-9.9658,2.8877,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-1.685,-9.9658,-9.9658,-9.9658,-9.9658,4.0304,1.5563,4.073,1.0079,3.0893,0.044,-9.9658,2.0465,-9.9658,4.2289,-9.9658,-0.6643,-4.2934,-9.9658,-9.9658
TCGA-D8-A1JU-01,-9.9658,-9.9658,-9.9658,5.4456,2.9674,-6.5064,3.944,-6.5064,-9.9658,10.5416,-4.6082,-9.9658,6.3976,-9.9658,3.8993,4.5211,-4.035,-9.9658,-9.9658,-9.9658,-3.0469,3.9974,2.6067,2.9243,-9.9658,-9.9658,3.5047,-9.9658,-9.9658,-5.5735,-9.9658,1.177,1.8996,-9.9658,-3.3076,-9.9658,6.4694,-9.9658,-9.9658,-3.6259,4.3903,-9.9658,-2.3884,-3.0469,-5.5735,6.2114,-9.9658,-2.8262,-9.9658,-9.9658,3.1507,-3.458,3.863,-6.5064,-9.9658,-1.0559,3.6463,-9.9658,-1.5105,-9.9658,6.726,-0.2498,6.8474,-9.9658,-9.9658,-3.1714,-1.5522,-3.458,7.644,-9.9658,0.9493,-2.4659,-9.9658,-9.9658,2.7292,-4.2934,-9.9658,-9.9658,-9.9658,-9.9658,-1.0262,-9.9658,-1.8836,-9.9658,-9.9658,4.0251,3.6838,-0.4521,2.8916,3.1245,4.2855,-3.1714,3.3897,-9.9658,3.4411,-9.9658,0.8805,-4.6082,-5.5735,1.5563
TCGA-VD-A8K7-01,-9.9658,-9.9658,-9.9658,3.8421,3.1409,-9.9658,4.8345,-3.6259,-9.9658,10.8368,-9.9658,-9.9658,4.579,-9.9658,-6.5064,-4.2934,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.6349,0.9115,-0.9132,-9.9658,-9.9658,0.7493,-9.9658,-4.035,-5.5735,-3.6259,-6.5064,-9.9658,-9.9658,-5.0116,-9.9658,3.9156,-9.9658,-9.9658,-2.5479,4.4277,-9.9658,-2.4659,-1.2142,-5.5735,6.6968,-9.9658,7.1319,-9.9658,-9.9658,2.128,-9.9658,-0.8863,-5.5735,-4.035,-9.9658,3.6861,-9.9658,-6.5064,-9.9658,5.9826,0.547,0.6145,-9.9658,-9.9658,-2.114,-0.7588,-9.9658,5.0405,-9.9658,-0.1187,-3.1714,-6.5064,-9.9658,1.9377,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-2.5479,-9.9658,-3.816,-9.9658,-9.9658,3.5111,2.4805,-5.0116,7.3308,3.2677,0.4761,-1.7322,3.074,-9.9658,3.4945,-3.816,-9.9658,-5.0116,-5.5735,-9.9658
GTEX-11XUK-1426-SM-5EQMG,-3.6259,-9.9658,-9.9658,5.8525,1.9527,1.2756,6.7883,-0.7346,-9.9658,10.4675,-3.6259,-9.9658,4.951,-3.1714,0.6517,1.1641,-4.6082,-9.9658,-9.9658,-9.9658,0.3573,1.692,2.7227,3.6994,-9.9658,-9.9658,2.8462,-9.9658,-9.9658,-2.8262,-9.9658,-0.2159,5.726,-9.9658,-9.9658,-9.9658,4.5638,-9.9658,-9.9658,-0.5332,3.6509,-9.9658,0.7916,-5.5735,-9.9658,6.1494,-9.9658,1.1447,-9.9658,-5.0116,3.0092,-2.3884,2.6185,-1.7322,-1.685,-1.3921,3.8905,-9.9658,-2.1779,-3.3076,7.1839,2.233,7.8164,-9.9658,-9.9658,0.5271,-0.5125,-2.4659,3.9947,-9.9658,1.7995,0.2277,-9.9658,-9.9658,2.6325,-2.1779,-5.5735,-9.9658,-9.9658,-9.9658,0.8327,-9.9658,-9.9658,-9.9658,-9.9658,4.4595,3.5199,3.2737,0.9268,4.8156,3.4674,-3.3076,2.9375,-9.9658,3.0428,-9.9658,1.5013,-9.9658,-3.1714,2.2573
TCGA-FR-A8YD-06,-9.9658,-9.9658,-9.9658,4.0748,3.4894,-6.5064,5.005,-1.4305,-9.9658,10.3218,-9.9658,-9.9658,4.5274,-9.9658,-4.6082,-3.816,-9.9658,-9.9658,-9.9658,-3.6259,-5.0116,-0.6416,-2.1779,-0.4921,-9.9658,-9.9658,0.7146,-9.9658,-9.9658,-3.0469,-9.9658,-5.0116,-6.5064,-9.9658,-9.9658,-9.9658,5.7032,-9.9658,-9.9658,-3.6259,1.5216,-9.9658,-4.6082,-9.9658,-3.458,6.6284,-9.9658,7.1034,-9.9658,-2.3147,2.4008,-6.5064,0.679,-9.9658,-9.9658,-4.035,5.467,-9.9658,-9.9658,-9.9658,7.8429,-1.4305,5.5364,-9.9658,3.0376,-4.2934,-4.035,-3.458,2.5413,-5.5735,-9.9658,-6.5064,-9.9658,-9.9658,2.5288,-2.3884,-9.9658,-9.9658,-9.9658,-9.9658,-0.0277,-9.9658,-3.458,-9.9658,-9.9658,2.9224,1.6875,-1.8314,4.9942,4.5117,-1.9379,-9.9658,0.3231,-9.9658,3.6725,-9.9658,-4.2934,-5.0116,-4.2934,2.7931
GTEX-WOFM-0526-SM-4OOS2,-9.9658,-9.9658,-9.9658,5.2308,1.1641,-4.2934,4.49,-4.6082,-9.9658,10.1421,-9.9658,-9.9658,4.9814,-9.9658,0.3115,-0.5125,-9.9658,-9.9658,-9.9658,-9.9658,-3.0469,4.1804,1.4962,7.8826,-9.9658,-9.9658,2.9167,-9.9658,-2.0529,-9.9658,-9.9658,-1.4699,-9.9658,-9.9658,-9.9658,-3.1714,5.2438,-9.9658,-4.6082,0.1519,3.1278,-9.9658,-1.685,-2.1779,-9.9658,6.4103,-9.9658,0.4865,-9.9658,-3.1714,2.824,-9.9658,4.0366,-9.9658,-3.1714,-2.9324,2.1798,-9.9658,-4.6082,-9.9658,6.4291,0.5271,3.3883,-9.9658,-2.3147,-0.5973,-1.1488,-1.7809,4.2721,-9.9658,-9.9658,-1.1172,-9.9658,-9.9658,1.8762,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,1.3511,-9.9658,-9.9658,-9.9658,-9.9658,2.6185,2.8542,-4.2934,1.5064,4.4169,-0.6416,-1.685,-3.816,-9.9658,3.0961,-9.9658,1.177,-9.9658,-3.816,-9.9658
TCGA-HC-7742-01,-9.9658,-9.9658,-4.2934,5.6433,1.9749,-4.2934,3.7603,-5.0116,-0.0574,10.2817,-9.9658,-9.9658,5.8009,-9.9658,-2.6349,2.3366,-5.5735,-9.9658,-9.9658,-9.9658,-3.458,0.5666,1.9527,5.2991,-9.9658,-9.9658,1.2085,-9.9658,-3.458,-2.2447,-3.1714,-1.9379,0.8327,-9.9658,-9.9658,-9.9658,5.8212,-9.9658,-9.9658,-3.1714,4.2165,-9.9658,-3.0469,-0.9406,-3.0469,6.7549,-9.9658,0.044,-9.9658,-0.3566,2.2813,-1.8314,1.6045,-9.9658,-2.9324,-0.1031,6.0095,-9.9658,-9.9658,-9.9658,6.4576,0.1388,5.4738,-9.9658,4.2862,-2.3884,-2.6349,-9.9658,7.4394,-3.458,2.1147,-2.0529,-9.9658,-9.9658,3.7356,-4.035,-9.9658,-9.9658,-2.7274,-9.9658,4.5844,-9.9658,-9.9658,-9.9658,-9.9658,3.1669,2.4701,-3.0469,1.9149,4.4913,3.871,-4.035,3.4687,-9.9658,3.002,-9.9658,-4.035,-3.3076,-6.5064,-9.9658
TCGA-DD-A3A6-11,-9.9658,-9.9658,-9.9658,3.154,-1.9942,-9.9658,0.24,-9.9658,-9.9658,8.4238,-9.9658,-9.9658,2.6161,-9.9658,-5.5735,-4.035,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-2.6349,-0.1031,-9.9658,-9.9658,0.6699,-9.9658,-2.2447,-9.9658,-9.9658,-9.9658,5.5868,-9.9658,-9.9658,-9.9658,2.694,-9.9658,-9.9658,-9.9658,2.651,-9.9658,-9.9658,-9.9658,-9.9658,5.748,-9.9658,-2.3147,-9.9658,-9.9658,0.3907,-4.035,0.9038,-9.9658,-9.9658,-9.9658,4.034,-9.9658,-5.5735,-9.9658,5.1514,-9.9658,6.8576,-9.9658,-9.9658,-9.9658,-4.6082,-9.9658,4.7698,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,0.6969,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.9942,-9.9658,-9.9658,-3.458,-9.9658,0.7407,1.1833,-0.6416,3.6635,1.3511,0.9343,-9.9658,1.5165,-9.9658,2.7889,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TCGA-64-1679-01,-9.9658,-9.9658,-3.6259,4.8954,3.186,-1.1172,4.7404,1.7532,-9.9658,9.926,-9.9658,-9.9658,5.8128,-5.0116,2.9674,-1.2142,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,3.2811,1.3956,3.3307,-9.9658,-9.9658,2.1444,-9.9658,-2.8262,-9.9658,-9.9658,-0.4131,-2.0529,-4.035,-9.9658,-9.9658,5.2449,-9.9658,-9.9658,-4.2934,4.3378,-6.5064,-5.0116,-6.5064,-5.5735,6.9414,-9.9658,3.1908,-9.9658,-9.9658,2.8014,-9.9658,1.7403,-6.5064,-9.9658,-0.5973,2.2268,-9.9658,-3.3076,-3.816,8.8869,0.4233,8.4104,-9.9658,-9.9658,-9.9658,-3.6259,-9.9658,6.3982,-9.9658,0.4016,-2.9324,-9.9658,-9.9658,3.0428,0.3231,-9.9658,-9.9658,-3.0469,-9.9658,0.0014,-9.9658,-9.9658,-6.5064,-9.9658,4.8115,3.4804,-0.5125,2.5536,2.4035,2.2082,-9.9658,3.6994,-9.9658,2.7636,-9.9658,-1.3548,-9.9658,-5.5735,1.4808
TCGA-CV-5976-01,-9.9658,-9.9658,-6.5064,5.1486,2.9224,-9.9658,4.717,-1.4305,-9.9658,9.8692,-9.9658,-9.9658,5.4621,-9.9658,5.0475,-3.1714,-5.5735,-9.9658,-9.9658,-4.2934,-5.5735,-1.2142,-0.5973,0.5271,-9.9658,-9.9658,0.679,-9.9658,-9.9658,1.3735,-9.9658,-2.3147,-0.4719,-9.9658,-9.9658,-9.9658,5.4637,-9.9658,-9.9658,-4.2934,3.5374,-9.9658,-9.9658,-2.9324,-4.035,7.2045,-9.9658,-3.6259,-9.9658,-1.5522,3.1844,-9.9658,1.7912,-3.458,-4.6082,-0.4131,5.5653,-9.9658,-9.9658,-9.9658,7.4598,-0.8339,7.7964,-9.9658,-9.9658,-9.9658,-3.816,-2.4659,5.3927,-3.458,1.0007,-3.816,-9.9658,-9.9658,2.6556,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-2.4659,-9.9658,-9.9658,5.0786,3.4034,-2.114,2.4171,3.7313,3.3828,-9.9658,3.4116,-9.9658,3.2915,-9.9658,7.0097,-9.9658,-9.9658,-0.7834
TCGA-BP-4775-01,-0.9132,-3.0469,-5.0116,4.429,2.59,-0.7588,5.24,-4.035,-9.9658,10.2269,-3.6259,-9.9658,4.7555,-5.0116,-1.2142,1.3051,-9.9658,-9.9658,-9.9658,-9.9658,-3.0469,5.176,2.7763,1.1897,-9.9658,-9.9658,2.4332,-9.9658,-9.9658,-9.9658,-9.9658,-1.1172,-9.9658,-9.9658,-3.816,-9.9658,6.2939,-9.9658,-9.9658,-2.3147,4.5411,-9.9658,-0.7346,-2.2447,-3.816,6.417,-9.9658,4.4128,-5.5735,-5.5735,3.0217,-9.9658,5.7469,-6.5064,-4.6082,-2.6349,2.7336,-9.9658,-9.9658,-3.816,7.1442,-0.5332,9.2894,-9.9658,-2.9324,-0.5543,-1.4305,-9.9658,6.7706,-9.9658,3.3478,-2.3884,-9.9658,-9.9658,3.0199,1.2147,-4.035,-9.9658,-9.9658,-9.9658,3.9478,-9.9658,-9.9658,-5.5735,-6.5064,4.7528,3.9393,1.2992,3.4344,2.9013,2.6962,-0.6643,4.8289,-9.9658,3.8511,-9.9658,-6.5064,-9.9658,-3.6259,1.0363
GTEX-N7MS-2526-SM-26GMA,-0.5756,-9.9658,3.7204,6.0086,1.0711,-0.5973,5.2936,-3.1714,-9.9658,8.5871,-0.6416,-9.9658,5.0798,-9.9658,6.8649,-0.3383,0.2998,-9.9658,-9.9658,-9.9658,-3.816,-0.5543,3.6905,2.2051,-9.9658,-9.9658,2.9893,-9.9658,-9.9658,0.6239,1.5115,-0.2845,-9.9658,-9.9658,-0.8599,-9.9658,6.3997,-9.9658,-9.9658,-0.7108,5.4657,-9.9658,-0.1504,-9.9658,-9.9658,6.3716,-9.9658,9.504,-9.9658,-9.9658,2.8117,-9.9658,0.6699,-9.9658,-9.9658,-2.8262,4.2609,-9.9658,-9.9658,-9.9658,6.0378,-9.9658,2.5561,-9.9658,-9.9658,1.1833,0.8408,-9.9658,5.8354,-9.9658,5.0972,1.4335,-3.1714,-9.9658,3.8177,-2.1779,-9.9658,-9.9658,-9.9658,1.1897,-4.2934,-9.9658,2.328,-9.9658,-9.9658,2.9747,2.4727,-1.2828,3.8471,4.7307,1.1577,-9.9658,3.4477,-9.9658,3.3206,-9.9658,-9.9658,-9.9658,-2.1779,-9.9658
GTEX-WHPG-0226-SM-3NMB9,-9.9658,-9.9658,-5.5735,5.7895,1.5563,-3.816,5.7342,-3.3076,-9.9658,9.8431,-9.9658,-9.9658,5.5577,-9.9658,-9.9658,-2.9324,-3.1714,-9.9658,-9.9658,-9.9658,-1.9942,3.2557,2.4465,3.3032,-9.9658,-9.9658,2.7657,-9.9658,-9.9658,-2.8262,-9.9658,-0.4921,-4.6082,-9.9658,-9.9658,-9.9658,6.4135,-3.6259,-9.9658,-1.4699,2.8819,-9.9658,-0.4521,-4.035,-9.9658,6.242,-9.9658,-0.5756,-4.6082,-9.9658,2.8219,-5.0116,5.8851,-9.9658,-3.816,-1.3183,4.7772,-9.9658,-4.2934,-0.8084,6.6941,0.2277,6.6743,-9.9658,-9.9658,-0.2845,0.5955,-9.9658,6.2533,-9.9658,2.2391,0.3573,-9.9658,-0.9971,3.2781,6.3782,-2.5479,-9.9658,-9.9658,-9.9658,2.9729,-9.9658,-0.9971,-9.9658,-9.9658,3.0393,3.3321,-1.2142,3.1572,4.3855,-2.3147,-0.2328,3.6428,-9.9658,3.4034,-9.9658,0.5859,-9.9658,-3.0469,-9.9658
GTEX-13FTZ-2226-SM-5LZXI,-9.9658,-9.9658,0.3796,2.4985,2.0147,-5.5735,2.7073,-2.1779,-9.9658,8.9837,-9.9658,-9.9658,4.3807,-9.9658,-3.1714,0.9419,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,1.8683,-0.1504,3.1162,-9.9658,-9.9658,-9.9658,-9.9658,-0.9686,5.8934,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,6.1453,-9.9658,-9.9658,-3.1714,4.2661,-9.9658,-2.4659,-9.9658,-4.6082,8.2248,-9.9658,-0.2845,-9.9658,-9.9658,3.928,-9.9658,3.6382,-9.9658,-9.9658,-0.7834,3.9118,-9.9658,-9.9658,-9.9658,4.8136,-1.8314,7.9372,-9.9658,-9.9658,-4.2934,-3.0469,-9.9658,4.5173,-5.0116,-9.9658,-1.5951,-9.9658,-1.7322,1.9527,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-0.0277,-9.9658,-9.9658,-6.5064,-9.9658,2.3077,5.1297,-5.5735,2.0844,1.9264,1.3051,-9.9658,-5.5735,-9.9658,3.5009,-9.9658,-1.2828,-9.9658,-5.0116,-9.9658
GTEX-14AS3-1326-SM-5RQJE,-9.9658,-9.9658,-6.5064,3.7909,-1.0262,-9.9658,5.7931,-3.0469,-9.9658,11.7608,-9.9658,-9.9658,5.405,-9.9658,2.2452,-1.9379,-9.9658,-9.9658,-9.9658,-9.9658,-2.3147,-1.1172,3.7888,1.2815,-9.9658,-9.9658,1.8242,-9.9658,-9.9658,-9.9658,-9.9658,0.4016,-9.9658,-9.9658,-3.3076,-9.9658,5.7077,-9.9658,-9.9658,0.058,3.4843,-9.9658,-1.6394,-9.9658,-4.035,6.0957,-9.9658,-0.394,-9.9658,-9.9658,2.5388,-9.9658,3.2112,-9.9658,-2.114,-5.0116,2.5972,-9.9658,-9.9658,-9.9658,7.068,1.2576,4.47,-9.9658,-9.9658,-3.458,0.9568,-9.9658,5.0773,-9.9658,2.694,-1.2142,-9.9658,-9.9658,2.7117,-9.9658,-3.458,-9.9658,-9.9658,-9.9658,0.8647,-9.9658,-9.9658,-9.9658,-9.9658,3.4933,3.8044,-4.6082,0.9343,4.0251,4.1628,-1.6394,-0.9971,-9.9658,3.186,-9.9658,0.1776,-3.816,-1.0262,-9.9658
GTEX-QEG4-0426-SM-5S2VQ,-9.9658,-9.9658,-0.013,3.402,0.9343,-3.816,3.4183,-1.0559,-9.9658,8.7494,-9.9658,-9.9658,3.8491,-9.9658,-2.8262,-0.5125,-5.5735,-9.9658,-9.9658,-9.9658,-2.5479,3.5827,-0.4921,1.7828,-9.9658,-9.9658,0.5069,-9.9658,-2.5479,1.6875,-9.9658,-3.6259,-5.5735,-9.9658,-4.6082,-9.9658,3.7313,-9.9658,-9.9658,-1.5105,3.5161,-9.9658,-2.0529,-9.9658,-9.9658,6.0405,-9.9658,-1.0262,-5.5735,-9.9658,3.8126,-9.9658,4.1867,-9.9658,-4.6082,2.0569,3.8827,-9.9658,-9.9658,-0.7108,5.5021,0.1519,6.0065,-9.9658,-9.9658,-9.9658,-1.8836,-9.9658,4.5602,-9.9658,-9.9658,-1.8836,-9.9658,-2.3147,1.5013,-9.9658,-9.9658,-0.1187,-9.9658,-9.9658,-1.5951,-9.9658,-9.9658,-5.5735,-9.9658,1.5514,5.4604,-6.5064,4.0824,3.38,6.3794,-2.5479,-0.9406,-9.9658,3.242,-9.9658,-3.0469,-9.9658,-3.1714,-9.9658
GTEX-1339X-0326-SM-5K7Z8,-9.9658,-9.9658,-0.8599,3.4318,1.5661,-9.9658,3.0199,-3.458,-9.9658,8.7121,-9.9658,-9.9658,4.096,-9.9658,-0.2498,-3.6259,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,3.5047,0.679,2.9394,-9.9658,-9.9658,3.1245,-9.9658,-9.9658,-3.458,-9.9658,-6.5064,-4.6082,-9.9658,-9.9658,-9.9658,4.3184,-9.9658,-9.9658,-3.3076,3.0619,-9.9658,-1.8836,-5.5735,-9.9658,5.5555,-9.9658,-1.2142,-9.9658,-9.9658,2.7444,-9.9658,3.8876,-9.9658,-9.9658,0.1776,3.1781,-9.9658,-9.9658,1.9188,5.8397,-2.4659,4.3841,-9.9658,-9.9658,-3.6259,-1.5105,-2.9324,5.5432,-9.9658,-9.9658,-1.9379,-9.9658,-9.9658,1.1512,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,1.8604,1.2023,-4.2934,2.824,2.9013,5.5503,-9.9658,0.9716,-9.9658,2.4252,-9.9658,1.692,-9.9658,-5.0116,-9.9658
GTEX-PLZ6-0126-SM-48TC6,-3.6259,-9.9658,-5.0116,6.4694,1.8957,-9.9658,6.1496,-2.5479,-9.9658,9.9448,-9.9658,-9.9658,5.0764,-2.114,-3.6259,2.183,-4.6082,-9.9658,-9.9658,-9.9658,0.0854,0.099,1.5266,4.1417,-9.9658,-9.9658,4.2855,-9.9658,-1.685,-9.9658,-9.9658,-2.5479,-9.9658,-9.9658,-3.816,-9.9658,4.2495,-9.9658,-9.9658,-0.9132,3.3633,-9.9658,0.3231,-5.5735,-4.6082,6.0025,-9.9658,5.149,-9.9658,-9.9658,2.118,-9.9658,2.9948,0.2642,-2.6349,-0.3566,3.4318,-4.035,-2.5479,3.2737,7.7114,1.46,8.9271,-9.9658,-9.9658,-0.2328,-0.4921,-9.9658,5.1102,-9.9658,2.1378,-0.7588,-9.9658,-2.4659,4.2033,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-1.3921,-9.9658,-9.9658,-9.9658,-9.9658,4.0462,3.5399,1.9149,2.8701,4.7104,0.2029,-3.1714,-0.2671,-9.9658,3.3047,-9.9658,0.6145,-9.9658,-1.6394,2.7972
TCGA-CV-6948-01,-9.9658,-9.9658,-9.9658,4.1417,2.9469,-9.9658,5.0747,-1.3183,-0.3022,10.5459,-9.9658,-3.458,4.9074,-9.9658,-0.9686,-0.3383,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,1.5758,0.3796,0.1388,-9.9658,-9.9658,2.1988,-9.9658,-9.9658,-3.1714,-9.9658,-0.8339,-9.9658,-9.9658,-5.5735,-9.9658,7.7717,-9.9658,-9.9658,-3.816,4.441,-4.6082,-2.6349,-0.2845,-3.816,6.6801,0.605,2.3308,-5.0116,3.6691,4.1458,-9.9658,2.2513,-6.5064,-5.5735,-2.3147,4.0427,-9.9658,-6.5064,-4.6082,5.8281,1.934,6.4717,-9.9658,-2.9324,-3.816,-0.7834,-9.9658,5.5531,-0.9686,-9.9658,-1.9379,-9.9658,-9.9658,1.3511,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,2.0604,-9.9658,-9.9658,-9.9658,-9.9658,3.3842,2.8199,-1.1488,0.058,5.4973,0.6332,-1.3183,2.3898,-9.9658,4.034,-9.9658,4.3068,-9.9658,-4.2934,2.5658
TCGA-EM-A3SX-01,1.5366,-9.9658,-9.9658,5.2709,2.0776,-3.6259,4.8435,-6.5064,-9.9658,10.2747,-9.9658,-9.9658,5.9892,-9.9658,-1.0262,-1.8314,-5.5735,-9.9658,-9.9658,-9.9658,-3.1714,-1.5522,2.1798,1.7702,-9.9658,-9.9658,3.1112,-9.9658,-3.458,-6.5064,-3.0469,1.9712,-4.2934,-3.816,-9.9658,-9.9658,7.3503,-9.9658,-9.9658,-2.4659,4.0858,-9.9658,-2.3147,-3.3076,-4.2934,6.3374,-9.9658,-2.5479,-9.9658,-9.9658,2.6783,-9.9658,6.7334,-9.9658,-4.6082,-3.1714,4.4887,-9.9658,-9.9658,-4.035,6.7392,-0.2671,4.8807,-9.9658,-9.9658,-9.9658,-0.8599,-9.9658,5.4473,-9.9658,-9.9658,-1.8314,-6.5064,-3.1714,2.5731,2.791,-4.035,-9.9658,-9.9658,-9.9658,3.2617,-9.9658,-9.9658,-9.9658,-9.9658,4.2072,4.3392,1.4911,2.7657,3.0602,1.5064,-1.0862,3.8147,-9.9658,3.5971,-9.9658,-2.9324,-9.9658,-4.035,-2.3147
TCGA-K7-AAU7-01,-3.1714,-9.9658,-6.5064,4.5098,1.3735,-5.0116,4.892,-2.8262,-9.9658,9.7503,-9.9658,-9.9658,4.9218,-3.6259,0.7664,-2.6349,-5.0116,-9.9658,-9.9658,-9.9658,-4.6082,0.0014,0.6425,1.7575,-9.9658,-9.9658,2.8482,-9.9658,-9.9658,-6.5064,-9.9658,-0.6416,1.125,-9.9658,-4.2934,-9.9658,5.2976,-9.9658,-9.9658,-3.458,3.8147,-9.9658,-2.7274,-0.9686,-5.0116,6.4484,-9.9658,-2.9324,-9.9658,-3.3076,2.1345,-3.6259,2.2268,-1.5105,-4.2934,-2.7274,5.9134,-9.9658,-6.5064,0.2154,7.5771,-1.1811,9.4603,-9.9658,-9.9658,-9.9658,-1.9942,-9.9658,5.6032,-9.9658,0.6332,-1.5522,-9.9658,-9.9658,2.0004,-9.9658,-5.5735,-9.9658,-9.9658,-0.8863,1.7617,-9.9658,-9.9658,-5.0116,-9.9658,2.6208,2.3077,0.3346,2.2693,4.2699,2.6208,-9.9658,3.3563,-9.9658,2.8341,-9.9658,-9.9658,-9.9658,-5.0116,0.8726
